,location,url,name,biz_id,address,category,star_rating
118,GERMANY,https://www.yelp.com/biz/style-stallone-sandwichbar-berlin?osq=food,Style Stallone Sandwichbar,style-stallone-sandwichbar-berlin,Reuterstr. 57,['Sandwiches'],5.0
119,GERMANY,https://www.yelp.com/biz/cocolo-ramen-berlin?osq=food,Cocolo Ramen,cocolo-ramen-berlin,Gipsstr. 3,['Ramen'],4.0
120,HONG KONG,https://www.yelp.com/biz/%E5%8F%A3%E5%88%A9%E7%A6%8F-%E9%A6%99%E6%B8%AF?osq=food,Ho Lee Fook,%E5%8F%A3%E5%88%A9%E7%A6%8F-%E9%A6%99%E6%B8%AF,"G/F, 1-5 Elgin Street, 伊利近街1-5號地下","['Asian Fusion', 'Cantonese']",4.5
121,HONG KONG,https://www.yelp.com/biz/%E7%BF%A0%E8%8F%AF%E9%A4%90%E5%BB%B3-%E9%A6%99%E6%B8%AF-8?osq=food,Tsui Wah Restaurant,%E7%BF%A0%E8%8F%AF%E9%A4%90%E5%BB%B3-%E9%A6%99%E6%B8%AF-8,"A-C, G/F, Tsau Wan Mansion, 27-33 Chung On Street, 眾安街27-33號秋雲大廈地下",['Hong Kong Style Cafe'],4.5
122,HONG KONG,https://www.yelp.com/biz/27-kebab-house-turkish-restaurant-%E9%A6%99%E6%B8%AF-3?osq=food,27 Kebab House Turkish Restaurant,27-kebab-house-turkish-restaurant-%E9%A6%99%E6%B8%AF-3,"Shop D - E, 27 Hollywood Road, 荷李活道27號地下D-E號鋪","['Turkish', 'Imported Food']",4.5
123,HONG KONG,https://www.yelp.com/biz/%E8%8F%AF%E5%AB%82%E5%86%B0%E5%AE%A4-%E9%A6%99%E6%B8%AF-2?osq=food,Mrs Tang Cafe,%E8%8F%AF%E5%AB%82%E5%86%B0%E5%AE%A4-%E9%A6%99%E6%B8%AF-2,"Hang Tau Tsuen, Ping Shan, 屏山坑頭村",['Hong Kong Style Cafe'],4.5
124,HONG KONG,https://www.yelp.com/biz/%E5%9D%A4%E8%A8%98%E7%B2%A5%E5%93%81-%E9%A6%99%E6%B8%AF?osq=food,坤記粥品,%E5%9D%A4%E8%A8%98%E7%B2%A5%E5%93%81-%E9%A6%99%E6%B8%AF,"G/F, Tin On House, 78-96 Shek Yam Road, 石蔭路78-96號天安樓G/F",['Restaurants'],4.5
125,HONG KONG,https://www.yelp.com/biz/i-love-%E7%BF%A0%E8%8F%AF-%E9%A6%99%E6%B8%AF?osq=food,Tsui Wah Eatery,i-love-%E7%BF%A0%E8%8F%AF-%E9%A6%99%E6%B8%AF,,"['Fast Food', 'Hong Kong Style Cafe']",4.0
126,HONG KONG,https://www.yelp.com/biz/%E6%B7%BB%E5%A5%BD%E9%81%8B%E9%BB%9E%E5%BF%83%E5%B0%88%E9%96%80%E5%BA%97-%E9%A6%99%E6%B8%AF?osq=food,Tim Ho Wan,%E6%B7%BB%E5%A5%BD%E9%81%8B%E9%BB%9E%E5%BF%83%E5%B0%88%E9%96%80%E5%BA%97-%E9%A6%99%E6%B8%AF,,"['Cantonese', 'Dim Sum']",4.0
127,HONG KONG,https://www.yelp.com/biz/%E7%9B%9B%E8%A8%98%E9%BA%B5%E5%AE%B6-%E9%A6%99%E6%B8%AF?osq=food,Shing Kee Noodles,%E7%9B%9B%E8%A8%98%E9%BA%B5%E5%AE%B6-%E9%A6%99%E6%B8%AF,"Shop 5, Lek Yuen Estate Market, Sha Tin, 沙田瀝源熟食中心5號舖","['Congee', 'Hot Pot']",4.5
128,HONG KONG,https://www.yelp.com/biz/%E9%AE%AE%E5%85%A5%E5%9C%8D%E7%85%AE-%E9%A6%99%E6%B8%AF?osq=food,Market Hotpot,%E9%AE%AE%E5%85%A5%E5%9C%8D%E7%85%AE-%E9%A6%99%E6%B8%AF,,"['Hot Pot', 'Cantonese']",4.5
